x0,x1,func_val
1.005631312727928162e-01,1.007039323449134827e-01,1.639630794525146484e+00
1.011358276009559631e-01,1.014228314161300659e-01,1.639621019363403320e+00
1.017183586955070496e-01,1.021572351455688477e-01,1.639611005783081055e+00
1.023110151290893555e-01,1.029077023267745972e-01,1.639600396156311035e+00
1.029140874743461609e-01,1.036748290061950684e-01,1.639589548110961914e+00
1.035278886556625366e-01,1.044592410326004028e-01,1.639578104019165039e+00
1.041527315974235535e-01,1.052615866065025330e-01,1.639566183090209961e+00
1.047889590263366699e-01,1.060825586318969727e-01,1.639553785324096680e+00
1.054369136691093445e-01,1.069228872656822205e-01,1.639540910720825195e+00
1.060969606041908264e-01,1.077833399176597595e-01,1.639527320861816406e+00
1.067694798111915588e-01,1.086647287011146545e-01,1.639513254165649414e+00
1.074548661708831787e-01,1.095679178833961487e-01,1.639498472213745117e+00
1.081535294651985168e-01,1.104938089847564697e-01,1.639482975006103516e+00
1.088659092783927917e-01,1.114433705806732178e-01,1.639466762542724609e+00
1.095924526453018188e-01,1.124176159501075745e-01,1.639449834823608398e+00
1.103336364030838013e-01,1.134176328778266907e-01,1.639431953430175781e+00
1.110899597406387329e-01,1.144445687532424927e-01,1.639413356781005859e+00
1.118619367480278015e-01,1.154996454715728760e-01,1.639393568038940430e+00
1.126501187682151794e-01,1.165841668844223022e-01,1.639373064041137695e+00
1.134550720453262329e-01,1.176995187997817993e-01,1.639351129531860352e+00
1.142774000763893127e-01,1.188471764326095581e-01,1.639328241348266602e+00
1.151177361607551575e-01,1.200287267565727234e-01,1.639304041862487793e+00
1.159767359495162964e-01,1.212458610534667969e-01,1.639278411865234375e+00
1.168551072478294373e-01,1.225003898143768311e-01,1.639251470565795898e+00
1.177535802125930786e-01,1.237942501902580261e-01,1.639222860336303711e+00
1.186729297041893005e-01,1.251295357942581177e-01,1.639192342758178711e+00
1.196139752864837646e-01,1.265084743499755859e-01,1.639160394668579102e+00
1.205775737762451172e-01,1.279334872961044312e-01,1.639126300811767578e+00
1.215646415948867798e-01,1.294071823358535767e-01,1.639089822769165039e+00
1.225761398673057556e-01,1.309323757886886597e-01,1.639051198959350586e+00
1.236130893230438232e-01,1.325121223926544189e-01,1.639009952545166016e+00
1.246765702962875366e-01,1.341497153043746948e-01,1.638965845108032227e+00
1.257677227258682251e-01,1.358487457036972046e-01,1.638918638229370117e+00
1.268877685070037842e-01,1.376131176948547363e-01,1.638868093490600586e+00
1.280379891395568848e-01,1.394471079111099243e-01,1.638813972473144531e+00
1.292197555303573608e-01,1.413553655147552490e-01,1.638755679130554199e+00
1.304345428943634033e-01,1.433430016040802002e-01,1.638692855834960938e+00
1.316838860511779785e-01,1.454156190156936646e-01,1.638624906539916992e+00
1.329694539308547974e-01,1.475793868303298950e-01,1.638551473617553711e+00
1.342930346727371216e-01,1.498411297798156738e-01,1.638471603393554688e+00
1.356565058231353760e-01,1.522083878517150879e-01,1.638385057449340820e+00
1.370619088411331177e-01,1.546895503997802734e-01,1.638290643692016602e+00
1.385114192962646484e-01,1.572939455509185791e-01,1.638187408447265625e+00
1.400073766708374023e-01,1.600320041179656982e-01,1.638074040412902832e+00
1.415522992610931396e-01,1.629154235124588013e-01,1.637949347496032715e+00
1.431488990783691406e-01,1.659573763608932495e-01,1.637811899185180664e+00
1.448000967502593994e-01,1.691727638244628906e-01,1.637659311294555664e+00
1.465090513229370117e-01,1.725784838199615479e-01,1.637489795684814453e+00
1.482791900634765625e-01,1.761938035488128662e-01,1.637300252914428711e+00
1.501142084598541260e-01,1.800408363342285156e-01,1.637087583541870117e+00
1.520181447267532349e-01,1.841450482606887817e-01,1.636847496032714844e+00
1.539953798055648804e-01,1.885359436273574829e-01,1.636575222015380859e+00
1.560506969690322876e-01,1.932479590177536011e-01,1.636264324188232422e+00
1.581893414258956909e-01,1.983215063810348511e-01,1.635906934738159180e+00
1.604170352220535278e-01,2.038044035434722900e-01,1.635493397712707520e+00
1.627400666475296021e-01,2.097536772489547729e-01,1.635010480880737305e+00
1.651653647422790527e-01,2.162379324436187744e-01,1.634441852569580078e+00
1.677005887031555176e-01,2.233405411243438721e-01,1.633764982223510742e+00
1.703542023897171021e-01,2.311639040708541870e-01,1.632950305938720703e+00
1.731356084346771240e-01,2.398353368043899536e-01,1.631956815719604492e+00
1.760552823543548584e-01,2.495152801275253296e-01,1.630726814270019531e+00
1.791249215602874756e-01,2.604090273380279541e-01,1.629177927970886230e+00
1.823576688766479492e-01,2.727838456630706787e-01,1.627188563346862793e+00
1.857682913541793823e-01,2.869946062564849854e-01,1.624573707580566406e+00
1.893734931945800781e-01,3.035232722759246826e-01,1.621041417121887207e+00
1.931922435760498047e-01,3.230417966842651367e-01,1.616111397743225098e+00
1.972461640834808350e-01,3.465161323547363281e-01,1.608952999114990234e+00
2.015600204467773438e-01,3.753854036331176758e-01,1.598042607307434082e+00
2.061623632907867432e-01,4.118855297565460205e-01,1.580379247665405273e+00
2.110862582921981812e-01,4.596625864505767822e-01,1.549533605575561523e+00
2.163702696561813354e-01,5.249840021133422852e-01,1.490348339080810547e+00
2.220596373081207275e-01,6.191083192825317383e-01,1.363869190216064453e+00
2.282078564167022705e-01,7.616246938705444336e-01,1.075921773910522461e+00
2.348786890506744385e-01,9.679950475692749023e-01,6.500245928764343262e-01
2.421487569808959961e-01,1.045900225639343262e+00,6.731753349304199219e-01
