/egr/research-slim/ghoshavr/edge-of-stability/src/cifar.py:79: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  y_train = torch.tensor(mnist_train.targets)
/egr/research-slim/ghoshavr/edge-of-stability/src/cifar.py:80: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  y_test = torch.tensor(mnist_test.targets)
device: cuda:0
output directory: RESULTS/mnist-1k/fc-relu/seed_0/mse/gd//lr_0.2
eigenvalues:  tensor([3.2424, 3.0169])
0	0.512	0.102	0.513	0.106
10	0.380	0.657	0.388	0.607
20	0.302	0.758	0.317	0.701
30	0.250	0.784	0.273	0.735
40	0.226	0.826	0.258	0.757
50	0.199	0.840	0.231	0.785
60	0.181	0.858	0.217	0.805
70	0.180	0.865	0.219	0.796
80	0.160	0.878	0.202	0.812
90	0.157	0.874	0.201	0.808
eigenvalues:  tensor([9.9802, 9.4696])
100	0.134	0.911	0.181	0.841
110	0.127	0.919	0.176	0.843
120	0.121	0.925	0.172	0.848
130	0.114	0.930	0.166	0.855
140	0.107	0.935	0.160	0.862
150	0.100	0.937	0.154	0.868
160	0.096	0.944	0.151	0.870
170	0.092	0.946	0.149	0.873
180	0.087	0.950	0.145	0.877
190	0.083	0.952	0.142	0.880
eigenvalues:  tensor([10.3871,  9.8246])
200	0.080	0.956	0.141	0.881
210	0.080	0.960	0.141	0.880
220	0.074	0.963	0.137	0.882
230	0.070	0.966	0.134	0.884
240	0.068	0.968	0.132	0.884
250	0.065	0.969	0.131	0.887
260	0.063	0.971	0.130	0.888
270	0.062	0.971	0.130	0.888
280	0.061	0.971	0.130	0.886
290	0.058	0.975	0.128	0.889
eigenvalues:  tensor([9.7818, 9.5053])
300	0.055	0.980	0.126	0.890
310	0.053	0.983	0.125	0.891
320	0.051	0.986	0.125	0.891
330	0.050	0.987	0.125	0.891
