/egr/research-slim/ghoshavr/edge-of-stability/src/cifar.py:79: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  y_train = torch.tensor(mnist_train.targets)
/egr/research-slim/ghoshavr/edge-of-stability/src/cifar.py:80: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  y_test = torch.tensor(mnist_test.targets)
device: cuda:2
output directory: RESULTS/mnist-20k/fc-relu-depth4/seed_0/mse/gd//lr_0.3
eigenvalues:  tensor([1.5432, 1.4784])
0	0.508	0.099	0.509	0.096
10	0.447	0.159	0.447	0.156
20	0.442	0.335	0.442	0.331
30	0.434	0.433	0.435	0.432
40	0.419	0.457	0.419	0.454
50	0.394	0.471	0.394	0.467
60	0.364	0.531	0.364	0.524
70	0.329	0.612	0.329	0.611
80	0.332	0.555	0.334	0.565
90	0.328	0.602	0.327	0.609
eigenvalues:  tensor([8.6914, 6.2954])
100	0.346	0.527	0.346	0.522
110	0.257	0.687	0.257	0.684
120	0.259	0.660	0.258	0.668
130	0.217	0.795	0.216	0.800
140	0.216	0.774	0.216	0.775
150	0.211	0.753	0.210	0.760
160	0.173	0.817	0.172	0.823
170	0.168	0.831	0.168	0.833
180	0.152	0.861	0.152	0.860
190	0.143	0.873	0.143	0.874
eigenvalues:  tensor([6.8561, 6.0301])
200	0.138	0.876	0.138	0.875
210	0.133	0.882	0.132	0.879
220	0.120	0.894	0.120	0.891
230	0.119	0.890	0.119	0.888
240	0.109	0.900	0.109	0.899
250	0.107	0.901	0.107	0.898
260	0.101	0.906	0.101	0.904
270	0.096	0.910	0.097	0.907
280	0.094	0.911	0.095	0.909
290	0.091	0.914	0.092	0.911
eigenvalues:  tensor([6.2042, 5.8506])
300	0.087	0.917	0.088	0.914
310	0.085	0.919	0.086	0.915
320	0.083	0.921	0.084	0.916
330	0.081	0.923	0.082	0.919
340	0.079	0.924	0.081	0.920
350	0.077	0.925	0.079	0.922
360	0.075	0.927	0.077	0.924
370	0.074	0.928	0.076	0.925
380	0.072	0.930	0.074	0.925
390	0.071	0.931	0.073	0.927
eigenvalues:  tensor([6.1647, 5.8184])
400	0.069	0.932	0.072	0.928
410	0.068	0.934	0.071	0.930
420	0.067	0.935	0.070	0.930
430	0.066	0.936	0.069	0.932
440	0.065	0.938	0.068	0.932
450	0.063	0.938	0.067	0.933
460	0.062	0.939	0.066	0.934
470	0.061	0.940	0.065	0.934
480	0.060	0.941	0.064	0.934
490	0.059	0.942	0.063	0.936
eigenvalues:  tensor([6.1153, 5.7519])
500	0.058	0.944	0.062	0.936
510	0.057	0.944	0.061	0.938
520	0.056	0.945	0.061	0.939
530	0.056	0.946	0.060	0.940
540	0.055	0.948	0.059	0.941
550	0.054	0.948	0.058	0.942
560	0.053	0.949	0.058	0.942
570	0.052	0.950	0.057	0.943
580	0.051	0.951	0.056	0.944
590	0.051	0.952	0.055	0.944
